"unix_time","time_utc","time_local","label","frontend_cpu","frontend_memory","productcatalogservice_cpu","productcatalogservice_memory","cartservice_cpu","cartservice_memory","checkoutservice_cpu","checkoutservice_memory","redis_cart_cpu","redis_cart_memory","paymentservice_cpu","paymentservice_memory","currencyservice_cpu","currencyservice_memory","shippingservice_cpu","shippingservice_memory"
"1781212174","2026-06-11 21:09:34","2026-06-12 05:09:34","0","0.0241194365003705","23764992","0.0104519866128892","12537856","0.00970832253067373","64012288","0.00223919905544449","12804096","0.00487316145153037","7213056","0.00269331172018808","57909248","0.0103619977545132","72478720","0.00263230143480433","10977280"
"1781212189","2026-06-11 21:09:49","2026-06-12 05:09:49","0","0.0235536866424359","23322624","0.00983259179088443","12591104","0.0136612150035504","64008192","0.00232299758190495","12808192","0.00540425880425885","7475200","0.00444096305382872","58310656","0.0146905340446882","72937472","0.0028634916592385","10985472"
"1781212204","2026-06-11 21:10:04","2026-06-12 05:10:04","0","0.0239468557595169","23965696","0.0111557760029461","12615680","0.014331594448401","64012288","0.00242515905793056","12812288","0.0058395652449459","7475200","0.00339100697906278","58478592","0.0157248532794461","73596928","0.00197473851977284","10608640"
"1781212219","2026-06-11 21:10:19","2026-06-12 05:10:19","0","0.0211815498713487","23478272","0.00929348477811782","12926976","0.0131912860074485","64008192","0.00261464014763174","12816384","0.0048360752238437","7217152","0.00288763834080399","58478592","0.00958652500000028","73596928","0.00194901919592706","10608640"
"1781212234","2026-06-11 21:10:34","2026-06-12 05:10:34","0","0.0217759508632698","23281664","0.00830285578309588","12926976","0.0122848837209305","63971328","0.00213375302484945","12816384","0.00486072695600462","7213056","0.00119065379985399","58040320","0.0133898152725966","73056256","0.00186979920405209","10612736"
"1781212249","2026-06-11 21:10:49","2026-06-12 05:10:49","0","0.0207096874101269","23056384","0.0110497227003252","12746752","0.0120888296379462","63971328","0.00133519603022037","12816384","0.00432827585077901","7213056","0.00117717800062677","58273792","0.0145644729155335","73203712","0.00174625904754477","10936320"
"1781212264","2026-06-11 21:11:04","2026-06-12 05:11:04","0","0.0177093774044723","23056384","0.0101673985283645","12845056","0.0147936106053703","64233472","0.000747388101643434","12816384","0.00528917032709763","7475200","0.000704537988102894","58445824","0.0160855612943119","73375744","0.00151477532938494","10936320"
"1781212279","2026-06-11 21:11:19","2026-06-12 05:11:19","0","0.0257994388416857","23515136","0.00617419999999988","12845056","0.0130940176615096","63942656","0.00402125632433148","12853248","0.00510702173093826","7741440","0.000989622922721492","58630144","0.0204700763484117","72957952","0.00201609682299549","10936320"
"1781212294","2026-06-11 21:11:34","2026-06-12 05:11:34","0","0.0260629328515506","23736320","0.0114238063285774","12865536","0.0113813671521153","63942656","0.00472909828986011","12898304","0.00482918279694157","7729152","0.00139285679248946","59043840","0.0181519427112876","73412608","0.00183143658897811","10944512"
"1781212309","2026-06-11 21:11:49","2026-06-12 05:11:49","0","0.0129568999999985","23736320","0.0119860578516308","12865536","0.0111376476085295","63942656","0.00341137895521373","12898304","0.00454324597701151","7475200","0.0048533725778759","58310656","0.0172421066336827","73318400","0.0028804054979679","10768384"
